SNO,Fault URN,Model(s),Severity,What It Means,Recommended Action,POA,CLI checks
1593,1430,SmartPwr channel 5 under-voltage,"CPE250, CPE280",Major,Channel 5 output below minimum voltage.,Check load. Power cycle. Replace SmartPwr.,
1594,1431,SmartPwr channel 5 over-voltage,"CPE250, CPE280",Major,Channel 5 output above max.,Power cycle. Replace SmartPwr.,
1595,1432,SmartPwr channel 5 over-current,"CPE250, CPE280",Critical,Channel 5 overcurrent.,Check subsystem for short. Power cycle. Replace SmartPwr.,
1596,1433,SmartPwr hardware fault,"CPE250, CPE280",Critical,SmartPwr internal hardware fault. Board-level failure.,Power cycle. Replace SmartPwr.,
1597,1434,SmartPwr firmware error,"CPE250, CPE280",Major,SmartPwr firmware error.,Power cycle. Update firmware. Replace SmartPwr if persists.,
1598,10000,urn:fault:powermodule:strike-out,"CPE250, CPE280",Critical,PM disabled — faulted 3 times in a row during charging sessions. PM won't participate until power cycled.,"Find associated alarms to confirm PM needs replacement (e.g., multiple 10072 faults before strikeout). Escalate via #cpe250_os_support. DO NOT RESET DCC!",
1599,10033,urn:fault:powermodule:ac-frequency-exceeds-limits,"CPE250, CPE280",Minor,AC input frequency out of range (not 50/60Hz ±limits). PM can't sync.,"Check input AC panel for correct supply. If on generator, verify frequency.",
1600,10034,urn:fault:powermodule:ambient-temp-warning,"CPE250, CPE280",Minor,Ambient temp around PM above warning threshold. Self-clearing/informational.,No troubleshooting or action needed. Check cooling system if persistent.,
1601,10035,urn:fault:powermodule:rectifier-temp-warning,"CPE250, CPE280",Minor,Rectifier (AC-DC stage) temperature above warning threshold. Self-clearing/informational.,No troubleshooting or action needed. Check cooling system if persistent.,
1602,10036,powermodule:charger-temp-warning,"CPE250, CPE280",Minor,Charger (DC-DC) stage temp above warning. Self-clearing/informational.,No action needed. Check cooling system if persistent.,
1603,10037,powermodule:phase-rotation-error,"CPE250, CPE280",Major,AC phases connected in wrong order. PM can't operate.,Site electrician must swap two of the three phases at input.,
1604,10038,powermodule:temp-sensor-failure,"CPE250, CPE280",Major,PM temp sensor failed. Module can't monitor own temperature.,Replace power module.,
1605,10039,powermodule:excessive-humidity,"CPE250, CPE280",Major,Excessive humidity inside station. Risk of condensation on electronics.,"Check seals, cable glands, door gaskets. Inspect for water ingress.",
1606,10040,powermodule:condensation-warning,"CPE250, CPE280",Minor,Conditions favorable for condensation. Informational.,Monitor humidity. Check seals. Ensure ventilation.,
1607,10041,powermodule:dc-input-under-voltage,"CPE250, CPE280",Major,DC link input to charger stage below minimum.,Check AC input. Check rectifier stage. Power cycle.,
1608,10042,powermodule:transformer-temp-warning,"CPE250, CPE280",Minor,Internal transformer temp above warning.,Monitor. Check cooling.,
1609,10043,powermodule:watchdog-reset-alert,"CPE250, CPE280",Minor,Watchdog triggered processor reset. Transient firmware glitch. Informational.,"Monitor. If frequent, replace module.",
1610,10044,powermodule:illegal-instruction-trap,"CPE250, CPE280",Critical,CPU1 executed illegal instruction. Firmware corruption or hardware fault.,Power cycle. Update firmware. Replace module if persists.,
1611,10045,powermodule:non-maskable-interrupt-trap,"CPE250, CPE280",Critical,NMI triggered on CPU1. Critical hardware or firmware error.,Power cycle. Replace module if persists.,
1612,10046,powermodule:unexpected-processor-reset,"CPE250, CPE280",Minor,CPU1 reset unexpectedly. May be watchdog or transient.,Monitor. Replace module if frequent.,
1613,10047,powermodule:unhandled-exception,"CPE250, CPE280",Major,Unhandled exception in CPU1 firmware. Software crash.,Power cycle. Update firmware. Replace module if persists.,
1614,10048,powermodule:output-discharge-failed,"CPE250, CPE280",Critical,DC bus discharge failed — voltage didn't bleed down after charging. Safety hazard — HV may persist.,Do not open station. Wait and retry. Check discharge resistor. Replace if failed.,
1615,10049,powermodule:temp-sensor-values-unbalanced,"CPE250, CPE280",Minor,Multiple temp sensors disagree. One may be drifting.,Monitor. Replace module if readings diverge significantly.,
1616,10050,powermodule:thermal-derate-active,"CPE250, CPE280",Minor,Module actively derating due to temperature. Self-protection.,Check cooling. Self-clears when temp drops.,
1617,10065,powermodule:ac-over-voltage,"CPE250, CPE280",Major,AC input voltage above maximum. Site voltage too high.,Check site power. May need utility investigation.,
1618,10066,powermodule:ac-under-voltage,"CPE250, CPE280",Major,AC input voltage below minimum.,Check site power. Check breakers and wiring.,
1619,10067,powermodule:ac-over-current,"CPE250, CPE280",Critical,AC overcurrent — PM drawing more than rated.,Check wiring. Check for short. Replace module if internal fault.,
1620,10068,powermodule:dc-output-over-voltage,"CPE250, CPE280",Critical,DC output voltage exceeded maximum.,Try different vehicle. Check regulation. Replace module if persists.,
1621,10069,powermodule:dc-output-over-current,"CPE250, CPE280",Critical,DC output current exceeded maximum.,Check for short in cable/contactor. Replace module if internal fault.,
1622,10070,powermodule:dc-link-over-voltage,"CPE250, CPE280",Critical,DC link bus voltage too high.,Power cycle. Replace module if persists.,
1623,10071,powermodule:dc-link-under-voltage,"CPE250, CPE280",Major,DC link bus voltage too low. Rectifier not providing enough.,Check AC input. Power cycle. Replace module if rectifier failed.,
1624,10072,powermodule:charger-fault,"CPE250, CPE280",Critical,General charger (DC-DC) stage fault. Can't convert to required output. Often seen before 10000 (strikeout).,"Power cycle. Replace module. Check if followed by 10000 strikeout — if yes, module needs replacement.",
1625,10073,powermodule:rectifier-over-temp-shutdown,"CPE250, CPE280",Critical,Rectifier exceeded critical temp — shut down. Station charges at reduced power.,"This is an overheating fault. Follow CPE250 Overheating Faults - 10074, 1007, 601. Check cooling. Replace module if persists.",
1626,10074,powermodule:charger-over-temp-shutdown,"CPE250, CPE280",Critical,Charger stage exceeded critical temp — shut down.,"Follow CPE250 Overheating Faults - 10074, 1007, 601. Check cooling. Replace module if persists.",
1627,10075,powermodule:internal-comms-error,"CPE250, CPE280",Major,Internal communication error within module (CPU-to-CPU or CPU-to-FPGA).,Power cycle. Replace module if persists.,
1628,10076,powermodule:output-relay-failure,"CPE250, CPE280",Critical,Output relay inside module has failed. Can't connect/disconnect from DC bus.,Replace power module.,
1629,10077,powermodule:charger-voltage-startup-failure,"CPE250, CPE280",Critical,Charger didn't reach target voltage during startup.,Power cycle. Replace module if persists.,
1630,10078,powermodule:dc-output-under-voltage,"CPE250, CPE280",Major,DC output below target. Vehicle may not accept charge.,Check module. Try different vehicle. Replace if regulation failed.,
1631,10079,powermodule:output-a-not-ready,"CPE250, CPE280",Major,Output channel A not ready. Failed startup check.,Power cycle. Replace module if persists.,
1632,10080,powermodule:output-b-not-ready,"CPE250, CPE280",Major,Output channel B not ready.,Power cycle. Replace module if persists.,
1633,10081,powermodule:charger-under-frequency,"CPE250, CPE280",Major,Internal switching frequency below expected. Control loop issue.,Power cycle. Replace module.,
1634,10082,powermodule:range-switch-failure,"CPE250, CPE280",Critical,Voltage range switch failed. Can't change voltage range.,Power cycle. Replace module.,
1635,10083,powermodule:dc-input-under-voltage-shutdown,"CPE250, CPE280",Critical,DC link undervoltage caused shutdown.,Check AC input. Power cycle. Replace module if persists.,
1636,10084,powermodule:ambient-over-temp-shutdown,"CPE250, CPE280",Critical,Ambient temp exceeded max — module shut down.,Environmental. Wait for temp to drop. Shade structure may be needed.,
1637,10085,powermodule:transformer-over-temp-shutdown,"CPE250, CPE280",Critical,Internal transformer exceeded max temp — shut down.,Check cooling. Power cycle. Replace module if transformer damaged.,
1638,10086,powermodule:llc-primary-over-current,"CPE250, CPE280",Critical,LLC converter primary overcurrent.,Power cycle. Replace module.,
1639,10087,powermodule:ac-input-current-imbalance,"CPE250, CPE280",Major,AC input current imbalance between phases.,Check AC wiring. Check for failed rectifier leg. Replace module if internal.,
1640,10088,powermodule:target-voltage-out-of-range,"CPE250, CPE280",Major,Voltage target sent to module is outside supported range.,Power cycle. Update firmware. Escalate if persists.,
1641,10089,powermodule:startup-timed-out,"CPE250, CPE280",Critical,Module timed out during startup. Didn't reach ready state in time.,Power cycle. Replace module if persists.,
1642,10090,powermodule:emergency-power-off,"CPE250, CPE280",Critical,EPO activated. E-stop pressed or EPO circuit triggered.,Check E-stop. Reset EPO. Investigate trigger cause.,
1643,10091,powermodule:dc-link-setpoint-missed,"CPE250, CPE280",Major,DC link voltage didn't reach setpoint. Precharge or rectifier underperforming.,Power cycle. Check precharge circuit. Replace module if persists.,
1644,10092,powermodule:link-precharge-fault,"CPE250, CPE280",Critical,Precharge circuit fault. Can't safely bring up DC link.,Power cycle. Check precharge components. Replace module if persists.,
1645,10093,powermodule:eeprom-error,"CPE250, CPE280",Major,Module EEPROM error. Config/calibration data corrupted.,Power cycle. Replace module if permanent.,
1646,10097,powermodule:power-failure-24v,"CPE250, CPE280",Critical,Internal 24V rail failed. Control circuits have no power.,Replace module.,
1647,10098,powermodule:power-failure-5v,"CPE250, CPE280",Critical,Internal 5V rail failed. Digital logic has no power.,Replace module.,
1648,10099,powermodule:power-failure-3-3v,"CPE250, CPE280",Critical,Internal 3.3V rail failed. Processor has no power.,Replace module.,
1649,10100,powermodule:can-comms-error,"CPE250, CPE280",Critical,Module lost CAN communication with station controller.,Check CAN cabling. Power cycle. Replace module if persists.,
1650,10101,powermodule:ready-state-timeout,"CPE250, CPE280",Major,Module didn't reach ready state within expected time.,Power cycle. Replace module if persists.,
1651,10102,powermodule:current-sensor-failure,"CPE250, CPE280",Critical,Current sensor failed. Module can't measure output current. Safety hazard.,Replace module.,
1652,10103,powermodule:pfc-temp-warning,"CPE250, CPE280",Minor,PFC stage temp above warning.,Monitor. Check cooling.,
1653,10104,powermodule:llc-temp-warning,"CPE250, CPE280",Minor,LLC converter stage temp above warning.,Monitor. Check cooling.,
1654,10105,powermodule:cpu1-ipc-interface-failure,"CPE250, CPE280",Critical,IPC between CPU1 and CPU2 failed. Dual-CPU module can't coordinate.,Power cycle. Replace module if persists.,
1655,10106,powermodule:cpu2-ipc-interface-failure,"CPE250, CPE280",Critical,IPC failure from CPU2 side.,Power cycle. Replace module if persists.,
1656,10107,powermodule:cpu2-illegal-instruction-trap,"CPE250, CPE280",Critical,CPU2 executed illegal instruction. Firmware corruption.,Power cycle. Update firmware. Replace module if persists.,
1657,10108,powermodule:cpu2-non-maskable-interrupt-trap,"CPE250, CPE280",Critical,NMI on CPU2. Critical HW or FW error.,Power cycle. Replace module if persists.,
1658,10110,powermodule:unhandled-cpu2-exception,"CPE250, CPE280",Major,Unhandled exception on CPU2. Software crash.,Power cycle. Update firmware. Replace module if persists.,
1659,10111,powermodule:cpu2-boot-error,"CPE250, CPE280",Critical,CPU2 failed to boot. Secondary processor didn't start.,Power cycle. Replace module if persists.,
1660,10129,powermodule:pfc-over-temp-shutdown,"CPE250, CPE280",Critical,PFC stage exceeded critical temp — shut down.,Check cooling. Power cycle. Replace module if persists.,
1661,10130,powermodule:llc-over-temp-shutdown,"CPE250, CPE280",Critical,LLC converter exceeded critical temp — shut down.,Check cooling. Power cycle. Replace module if persists.,
1662,10131,powermodule:cpu2-boot-failure,"CPE250, CPE280",Critical,CPU2 boot failure — secondary processor permanently failed.,Replace module.,
1663,usci:door-open,EXPP/PL,Major,USCI enclosure door is open. Tamper switch triggered.,Close and secure door. Check latch.,,
1664,usci:ac-surge-replacement-needed,EXPP/PL,Major,AC surge protector in USCI has tripped and needs replacement.,Replace AC surge protector.,,
1665,usci:48v-surge-replacement-needed,EXPP/PL,Major,48V surge protector in USCI has tripped.,Replace 48V surge protector.,,
1666,usci:io-module-unreachable,EXPP/PL,Critical,USCI I/O module is unreachable. Can't control pantograph or monitor sensors.,Check I/O module connections. Power cycle. Replace I/O module if persists.,,
1667,usci:wireless-ap-unreachable,EXPP/PL,Major,Wireless access point for EV communication is unreachable. Can't establish wireless link with vehicle.,Check wireless AP connections. Power cycle AP. Replace AP if persists.,,
